Id,SalePrice
1461,127547.23
1462,156726.89
1463,187729.52
1464,187201.95
1465,197683.56
1466,171946.45
1467,173635.67
1468,173044.17
1469,176568.03
1470,128333.45
1471,199828.47
1472,95490.2
1473,105325.484
1474,155270.25
1475,131586.73
1476,445827.5
1477,253361.48
1478,317884.1
1479,241136.16
1480,504535.88
1481,327956.47
1482,205855.98
1483,176497.66
1484,164764.55
1485,171073.95
1486,196203.98
1487,353830.3
1488,225272.42
1489,218118.22
1490,216023.33
1491,181336.97
1492,84827.92
1493,195335.36
1494,290138.47
1495,283404.62
1496,246044.8
1497,194580.16
1498,156575.03
1499,155030.56
1500,148845.27
1501,187571.67
1502,168684.81
1503,317917.1
1504,232507.06
1505,221424.88
1506,186383.28
1507,237557.81
1508,209018.33
1509,167733.42
1510,148376.2
1511,145064.97
1512,174347.36
1513,149950.06
1514,161897.31
1515,181589.36
1516,155228.34
1517,152954.53
1518,125164.055
1519,228000.33
1520,135474.27
1521,140873.5
1522,167873.11
1523,114368.664
1524,121904.41
1525,128349.61
1526,118885.555
1527,101820.04
1528,127321.27
1529,147714.58
1530,164900.1
1531,105585.83
1532,99814.74
1533,144731.92
1534,121662.89
1535,161037.45
1536,120113.555
1537,67737.414
1538,185752.31
1539,168108.19
1540,97962.07
1541,151732.7
1542,151508.27
1543,217161.4
1544,80580.05
1545,105759.445
1546,125790.77
1547,143900.98
1548,136355.73
1549,120393.21
1550,148403.14
1551,107764.336
1552,137157.72
1553,142013.0
1554,115587.06
1555,173227.6
1556,90661.805
1557,116725.875
1558,85235.86
1559,95003.53
1560,136234.25
1561,136620.7
1562,126460.88
1563,123202.57
1564,156447.25
1565,153928.61
1566,210057.61
1567,67786.69
1568,243298.22
1569,156962.11
1570,130697.055
1571,127003.5
1572,152892.89
1573,240328.02
1574,105895.07
1575,215712.56
1576,234292.38
1577,210127.83
1578,149994.22
1579,143910.55
1580,189694.47
1581,151660.94
1582,129605.27
1583,335273.12
1584,238372.7
1585,140127.84
1586,66981.51
1587,95735.695
1588,157159.72
1589,95291.984
1590,127908.57
1591,101499.13
1592,122892.81
1593,122589.66
1594,139058.23
1595,104160.09
1596,253529.78
1597,181260.92
1598,195742.7
1599,199625.89
1600,195754.72
1601,74176.62
1602,112944.06
1603,87552.13
1604,273711.44
1605,241081.19
1606,167249.48
1607,151086.95
1608,216267.94
1609,201169.39
1610,170053.31
1611,138659.0
1612,162268.2
1613,149720.77
1614,126801.484
1615,85780.125
1616,73967.48
1617,87472.336
1618,130361.57
1619,132694.83
1620,159643.55
1621,138897.77
1622,151295.72
1623,298803.4
1624,221963.44
1625,127800.43
1626,168773.88
1627,188654.67
1628,267017.6
1629,178741.69
1630,389048.78
1631,228988.44
1632,256818.42
1633,173663.39
1634,185244.61
1635,176176.7
1636,155439.33
1637,174020.23
1638,209878.33
1639,179514.2
1640,253143.95
1641,177429.38
1642,223638.17
1643,219672.88
1644,230100.39
1645,194457.12
1646,156246.81
1647,156590.92
1648,127233.91
1649,141757.06
1650,111006.805
1651,118542.164
1652,94479.36
1653,96366.64
1654,149646.9
1655,150661.12
1656,146851.47
1657,157385.78
1658,143754.22
1659,142655.19
1660,149393.14
1661,501639.72
1662,401190.22
1663,370892.34
1664,487627.0
1665,316964.4
1666,319667.94
1667,353331.2
1668,331650.06
1669,301173.94
1670,341545.2
1671,255829.44
1672,519807.5
1673,287626.28
1674,257624.78
1675,185340.88
1676,194905.47
1677,222914.75
1678,443836.28
1679,395197.8
1680,329385.12
1681,255112.8
1682,290993.2
1683,183364.55
1684,166440.2
1685,175314.58
1686,168422.62
1687,168118.17
1688,178298.66
1689,183912.84
